ESTUDIANTE,promediohistorico,promedioasistencia,# de Semestre,Desertor
Estudiante 211,8.450714285714286,97.42857142857143,4,0
Estudiante 212,8.31391304347826,96.47826086956522,4,0
Estudiante 213,8.24076923076923,99.26923076923077,4,0
Estudiante 214,9.75,100.0,3,1
Estudiante 215,8.09,100.0,3,1
Estudiante 216,4.43,52.0,3,1
Estudiante 217,8.55,90.0,3,1
Estudiante 218,4.31,54.0,3,1
Estudiante 219,7.02,78.0,3,1
Estudiante 22,9.349285714285713,99.5,2,0
Estudiante 220,0.0,0.0,3,1
Estudiante 221,8.6,88.0,3,1
Estudiante 222,0.0,0.0,3,1
Estudiante 223,6.08,78.0,3,1
Estudiante 224,8.32,90.0,3,1
Estudiante 225,7.87,93.0,3,1
Estudiante 226,2.69,28.0,3,1
Estudiante 227,7.06,72.0,3,1
Estudiante 228,7.79,89.0,3,1
Estudiante 229,8.91,82.0,3,1
Estudiante 23,9.102142857142857,99.21428571428571,2,0
Estudiante 230,7.98,90.0,3,1
Estudiante 231,0.0,0.0,3,1
Estudiante 232,8.4,93.0,3,1
Estudiante 233,0.0,0.0,3,1
Estudiante 234,8.24,88.0,3,1
Estudiante 235,8.84,98.0,3,1
Estudiante 236,8.92,97.0,3,1
Estudiante 237,8.35,85.0,3,1
Estudiante 238,8.14,100.0,3,1
Estudiante 239,6.71,90.0,3,1
Estudiante 24,8.996666666666666,99.26666666666667,4,0
Estudiante 240,7.26,100.0,3,1
Estudiante 241,8.02,96.0,3,1
Estudiante 242,0.0,0.0,3,1
Estudiante 243,3.11,76.0,3,1
Estudiante 244,7.68,94.0,3,1
Estudiante 245,7.06,82.0,3,1
Estudiante 246,7.04,86.0,3,1
Estudiante 247,7.82,72.0,3,1
Estudiante 248,2.62,58.0,3,1
Estudiante 249,7.02,90.0,3,1
Estudiante 25,9.313571428571427,99.42857142857143,2,0
Estudiante 250,3.04,68.0,3,1
Estudiante 251,0.0,0.0,3,1
Estudiante 252,8.62,94.0,3,1
Estudiante 253,8.69,90.0,3,1
Estudiante 254,0.31,8.571428571428571,1,1
Estudiante 255,1.5899999999999999,15.714285714285714,1,1
Estudiante 256,4.114444444444445,57.22222222222222,1,1
Estudiante 257,5.651999999999999,84.0,1,1
Estudiante 258,0.4714285714285714,11.0,1,1
Estudiante 259,0.6014285714285715,13.428571428571429,1,1
Estudiante 26,6.354444444444444,87.22222222222223,1,0
Estudiante 260,3.9616666666666664,49.833333333333336,1,1
Estudiante 261,4.999090909090909,77.63636363636364,1,0
Estudiante 262,2.2885714285714287,55.857142857142854,1,1
Estudiante 263,8.33375,95.25,2,1
Estudiante 264,3.674615384615384,59.23076923076923,2,1
Estudiante 265,4.477142857142857,59.142857142857146,1,1
Estudiante 266,4.941333333333334,79.8,2,1
Estudiante 267,4.686153846153847,59.07692307692308,2,1
Estudiante 268,2.8057142857142856,41.57142857142857,1,1
Estudiante 269,2.5042857142857144,32.42857142857143,1,1
Estudiante 27,8.895625,99.0625,2,0
Estudiante 270,0.6842857142857143,7.571428571428571,1,1
Estudiante 271,9.04857142857143,99.71428571428571,2,0
Estudiante 272,2.676666666666667,48.0,1,1
Estudiante 273,5.854090909090909,75.0909090909091,3,0
Estudiante 274,6.776999999999999,85.3,2,1
Estudiante 275,8.45,93.0,1,1
Estudiante 276,0.0,0.0,1,1
Estudiante 277,6.9,90.0,1,1
Estudiante 278,7.39,100.0,1,1
Estudiante 279,7.77,94.0,1,1
Estudiante 28,8.25153846153846,97.07692307692308,2,0
Estudiante 280,6.3,96.0,1,1
Estudiante 281,6.92,96.0,1,1
Estudiante 282,2.92,67.0,1,1
Estudiante 283,7.74,94.0,1,1
Estudiante 284,7.99,100.0,1,1
Estudiante 285,5.45,75.0,1,1
Estudiante 286,0.97,68.0,1,1
Estudiante 287,7.29,90.0,1,1
Estudiante 288,5.9350000000000005,88.0,1,1
Estudiante 289,8.03,100.0,1,1
Estudiante 29,8.866875,98.625,2,0
Estudiante 290,3.64,67.0,1,1
Estudiante 291,7.79,87.0,1,1
Estudiante 292,7.32,78.0,1,1
Estudiante 293,4.22,82.0,1,1
Estudiante 294,1.52,67.0,1,1
Estudiante 295,0.0,0.0,1,1
Estudiante 296,7.839230769230769,97.6923076923077,2,1
Estudiante 297,9.118571428571428,99.35714285714286,2,1
Estudiante 298,4.522142857142858,56.357142857142854,2,1
Estudiante 299,4.01,82.0,2,1
